Place Name,Rating,About Place,Best Time To Visit
Camp O Royale,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ,
Brindhavan Dream House,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Camp fire with music Rs.1500/- Power Backup|Kitchen available (home cook food on request)|Mini Theatre|Campfire / Bon Fire|Children's Park|Parking Facility,
Blue Bird Resort,4.0,The standard check-in time is 09:00 AM and the standard check-out time is 08:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. From 15 Dec'15 to Jan'16 festive season charge of Rs.1200 per room per night is applicable which is to be paid at the hotel directly No Refund applicable in case of any cancellation of ferry due to weather condition or natural calamity Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Room Service (24 Hours)|Parking Facility|Room Service,
Celesta,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Late check-out and early C/in are subject to the availability.  Guest must carry a valid government ID proof (Passport / Driving License / Aadhar Card / Voter ID) - any one ofthese at the time of check in. Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Wedding Services Facility|Wake-up Call / Service|Coffee Shop / Cafe|Conference Facility |Electronic / Magnetic Keys|Wheelchair Accessibility - Room|Open Air Restaurant / Dining |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Newspapers In Lobby|Room Service (24 Hours)|Air / Rail Booking|Courier Service,
Chethans inn  serviced apartments,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in. Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Power Backup|Wake-up Call / Service|Taxi Services|Internet Access Free,
Calangute Annexe,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Multi Cuisine Restaurant |Local Tour / Travel Desk| Bike on Rent|Car Rental|Room Service,
Camp Mehi Cottages,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup,
CARAMEL HOMESTAY,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Dear Sir/Madam  Request you to go through our terms and conditions. Carmel Home stay is run by my wife and I directly.  Therefore we are a bit cautious about our guests we host.  Carmel home stay is not for youngsters who are looking to party. Doctor on Call|Non Smoking Rooms|Doorman|Extra Person / Child - Share the same room|Family Room|Room Service (24 Hours)|Outdoor Parking - Secured|Room Service,
Blue Dawn Suites Service Appartment,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Internet Access Free,
Casa Anjuna-Boutique Resort,4.0,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel is charging a Compulsory New year'Eve Gala Dinner @ Rs. 3000 per head, which is payable directly at the hotel on check in Swimming Pool|Airport Transfer Available / Surcharge|Bar / Lounge |Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Spa On Site - Chargeable|Table Tennis|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Gardens|Coffee Shop / Cafe|Conference Facility |Pool Table|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Open Air Restaurant / Dining | Bike on Rent|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Taxi Services|Food Facility|Internet Access Free|Newspapers In Lobby|Family Room|Spa Services Nearby| Cook Services|Guide / Sightseeing Service|Outdoor Parking - Non Secured|Parking Facility|Internet Access|Restaurant|Room Service|First-Aid Kit at Front Desk|Paid Transfers|Public Restrooms|Speciality Restaurant",
Calista Resort,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Cancellation and prepayment policies vary according to room type. Airport Transfer Available / Surcharge|Ballroom|Banquet Facilities|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Audio - Visual Equipment|Wedding Services Facility|Catering|Multi Lingual Staff|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Kitchen available (home cook food on request)|Electronic / Magnetic Keys|Fire Place Available |Free Local Calls|Picnic Area|Cell Phone Rental|Wheelchair Accessibility - Room|Massage Services |Smoking Area |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Self Check - In|Taxi Services|City Shuttle Service|Food Facility|Internet Access Free|Newspapers In Lobby|Electronic Check-Out|Postal / Parcel Services|Room Service (24 Hours)|Parking (Surcharge)|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Courtesy Coach|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|Fire Safety|Anti-Slip Ramps|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Hotel Trading License|Metal Detectors|Paid Transfers|Pest Control Facility|Public Restrooms|Security at All Hotel Entrances|Smoke Detector|Suites,
Boopathy Lodge,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Lift / Elevator|24 Hour Front Desk|Room Service (24 Hours)|Room Service,
Buxar Hotel,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Doctor on Call|Laundry Service Available|Front Desk|Power Backup|Parking Facility,
Chief Guest House,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Doctor on Call|Internet Access - Surcharge|Front Desk|Local Tour / Travel Desk|Medical Assistance Available|Power Backup,
Bhimtal Holiday Villa,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Doctor on Call|Parking Facilities Available|Front Desk|Air-Conditioning - Central|Power Backup|Wake-up Call / Service|Smoking Rooms|Internet Access|Restaurant|First-Aid Kit at Front Desk|Public Restrooms,
Chilipili Estate Stay,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Doctor on Call|Dry Cleaning|Games Zone|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Welcome Drinks|Power Backup|Gardens|Open Air Restaurant / Dining |Kids Play Zone|Campfire / Bon Fire|Newspapers In Lobby|Children's Park|Room Service (24 Hours),
Capitol Hills Hotel,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check in 1200 Hours Early arrival is subject to availability.  Check out 1200 Hours Late check-outs are available on request and subject to availability ,
Camp Chrysalid Dharamshala,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Room Service (24 Hours),
Castle Service Apartment - Goregaon,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried couple not allowed. Doctor on Call|Laundry Service Available|Lift / Elevator|Lobby|Room Service,
Chandana Annexe,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|24 Hour Front Desk|Doorman|Power Backup|Express Check-In / Check-Out|Gardens|Car Rental|Kids Play Zone|Food Facility|Newspapers In Lobby|Family Room|Room Service (24 Hours),
carlin  service apartments,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Laundry Service Available|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Power Backup|Express Check-In / Check-Out|Catering|Multi Lingual Staff|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Extra Person / Child - Share the same room|Taxi Services|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility",
BHIDE HOMESTAY,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Parking Facilities Available|Front Desk,
BORAH'S HOME STAY,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Doctor on Call|Front Desk|24 Hour Front Desk|Doorman|Room Service (24 Hours)|Outdoor Parking - Secured|Room Service|Fire Safety|CCTV,
Choice Rooms,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Room Service|Porter Services Available,
Bizz Tamanna Hotel,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Bar / Lounge |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service,
Blue Star Hotel,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances. Doctor on Call|Parking Facilities Available|Front Desk|Room Service|Fire Safety|Public Restrooms,
CCC PepperMint,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion. Doctor on Call|Dry Cleaning|Front Desk|Food Facility|Room Service (24 Hours)|First-Aid Kit at Front Desk",
Chandana Residency,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check In time	12 noon Check out Time	11:00 AM Parking Facilities Available|Front Desk,
Bougainvillea,4.0,The standard check-in time is 01:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Swimming Pool|Doctor on Call|Non Smoking Rooms|Parking Facilities Available|Front Desk|Doorman|Power Backup|Internet Access Free|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|First-Aid Kit at Front Desk|Suites,
BrijRama Palace. A Heritage Hotel,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Complimentary Wifi up to 2 devices ID Cards are mandatory at the time of check in. Airport Transfer Available / Surcharge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Front Desk|Non Smoking Hotel|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Air-Conditioning - Central|Welcome Drinks|Express Check-In / Check-Out|Audio - Visual Equipment|Multi Lingual Staff|Wake-up Call / Service|Separate Sitting Area|Boating|Veranda|Vegetarian Food / Jain Food Available|Car Rental|Newspapers In Lobby|Room Service (24 Hours)|Adjoining Rooms|Internet Access|Restaurant|CCTV,
Chandana Deluxe Hotel,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Non Smoking Rooms|Parking Facilities Available|Smoking Rooms|Extra Person / Child - Share the same room|Outdoor Parking - Non Secured|Parking Facility|Room Service,
Blue Sky Group of houseboats,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Doctor on Call|Lobby|Local Tour / Travel Desk|Power Backup|Room Service (24 Hours)|RO Water Purification System|Room Service,
BWDA Resort,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Govt Id proof with address required The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ,
"Cambay Sapphire , Gandhinagar",4.0,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Guests staying on Dec 24 and  Dec 31 ,a mandatory Christmas eve extravaganza and  dinner charge of Rs. 1200 per adult / Rs. 800 per child will be charged and payable at hotel.  IN KEEPING WITH OUR HEIGHTENED SECURITY PROCEDURES WE/HOTEL REQUEST YOU TO CARRY A POSITIVE PHOTO - IDENTITY OF ALL THE OCCUPANTS/TRAVELLERS OF ROOMS. IT COULD BE YOUR PASSPORT, DRIVING LICENSE, VOTER ID CARD , AADHAR CARD OR PAN CARD. ONLY 02 CHILDREN BELOW 05 YEARS CAN BE ACCOMMODATED IN THE PARENTS ROOM WITH NO EXTRA CHARGE. CHILD ABOVE 5 YRS, PARENTS SHOULD CARRY A PROPER AGE PROOF OF RESPECTIVE CHILD FOLLOWED BY RESPECTIVE CHARGES. ",
Central Royale,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1.   not allowed unmarried couple 2.   not allowed local person 3.   not allowed room for drinking and gambling porpose. 4.   allow married couple if they show both i.d proof. Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Wake-up Call / Service|Nature Walk|Outdoor Parking - Secured|Parking Facility|Room Service,
Chandrama Hotel,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Doctor on Call|Parking Facilities Available|Front Desk|24 Hour Front Desk|Doorman|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|Anti-Slip Ramps|First-Aid Kit at Front Desk|Public Restrooms,
Casa De Damao.,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Guest should show valid photo and address id proof such as passport , driving license , aadhar card or voters id  Out side food and drink are not allowed in the hotel. Check in time 12.00 Pm and Check out time 11.00 Am. Pets are not allowed. Banquet Facilities|Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Village Visit ( Chargeable )|Car Rental|Taxi Services|Food Facility|Newspapers In Lobby|Party hall|Internet / Fax (Reception area only)|Outdoor Parking - Non Secured|Room Service|CCTV|First-Aid Kit at Front Desk|Paid Transfers",
Chai Guesthouse Munnar,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly we request our guest to use public area for smoking and drinking. campfire and BBQ facility available at extra cost. free trekking in our cardamom plantation. Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. There will be a season hike for Oct/Nov/Dec on Room Tariff which needs to be paid directly to the hotel. Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Gardens|Internet Access Free|Outdoor Parking - Secured|Parking Facility|Public Restrooms,
Brij Dham Guest House,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Years eve or other festive periods. Any such supplements need to be paid directly at the hotel. As per government valid id proofs are required at the Time of Check in Doctor on Call|Parking Facilities Available|Front Desk|Taxi Services|Air / Rail Booking,
Casa Clarks INN,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly valid ID proof is required at the time of C/In Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup,
Castle Service Apartment - Malad (W),4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel doesn't allow unmarried couple. guest will allow with valid photo proof identification Laundry Service Available|Lift / Elevator,
Birds Valley Resorts,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Doctor on Call|Dry Cleaning|Front Desk|Power Backup|Parking Facility,
Bon Habi Resort,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Restaurant|Room Service,
Chakri Guest House,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 48 Hrs prior to check-in The standard check-in time is 14:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly. According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid. Banquet Facilities|Doctor on Call|Laundry Service Available|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Internet Access",
Bheemeshwari nature &amp; adventure camp by Jungle Lodges,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The Rates are strictly  applicable only for  INDIAN CITIZENS, The Foreign tourist should pay extras directly at the hotel during the time of check in Doctor on Call|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Power Backup|Separate Sitting Area|Conference Facility |Kitchen available (home cook food on request)|Nature Walk|Extra Person / Child - Share the same room|Taxi Services|Food Facility|Newspapers In Lobby|RO Water Purification System|Parking Facility",
Bliss Home Stay,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 02:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Doctor on Call|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Spa On Site - Chargeable|Major Credit Cards Accepted|Power Backup|Express Check-In / Check-Out|Translation Services|Wake-up Call / Service|Smoking Area |Extra Person / Child - Share the same room|Express Laundry|Taxi Services|Internet Access Free|Newspapers In Lobby|Family Room|Air / Rail Booking|Baggage Room|Courier Service|Parking Facility|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Public Restrooms|Security at All Hotel Entrances,
Calangute Residency,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Swimming Pool|Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup|Gardens|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Newspapers In Lobby|Room Service (24 Hours)|Guide / Sightseeing Service|RO Water Purification System",
"Chinar Villa, Nr.Fatehsagar Lake",4.0,The standard check-in time is 10:00 AM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge supplement charges on Christmas / New Year's eve or other festive periods. Photo ID must be carrying and having address proof.Unmarried couple are not allowed.We do not entertain local address id. Doctor on Call|Lobby|Parking Facilities Available|Newspapers In Lobby|Family Room,
